"Name","total"
"Emma",39829
"Olivia",38884
"Sophia",33451
"Ava",32577
"Isabella",30296
"Mia",29237
"Charlotte",24411
"Abigail",24070
"Emily",22692
"Harper",21016
"Amelia",20540
"Evelyn",19412
"Elizabeth",19196
"Madison",19054
"Sofia",18815
"Avery",18063
"Ella",15748
"Chloe",15317
"Grace",15161
"Victoria",14867
"Scarlett",14801
"Aubrey",13883
"Zoey",13341
"Aria",13296
"Lily",13202
"Addison",13001
"Lillian",12930
"Riley",12830
"Natalie",12646
"Layla",12548
"Hannah",12374
"Penelope",12303
"Brooklyn",12213
"Zoe",11738
"Camila",11307
"Leah",10986
"Audrey",10930
"Nora",10875
"Alexa",10809
"Savannah",10773
"Skylar",10370
"Samantha",10255
"Allison",10104
"Claire",10013
"Paisley",9908
"Ellie",9900
"Anna",9868
"Stella",9698
"Violet",9642
"Mila",9526
"Eleanor",9524
"Ariana",9521
"Aaliyah",9461
"Lucy",9106
"Sadie",9005
"Hazel",8922
"Sarah",8885
"Kennedy",8825
"Gabriella",8821
"Caroline",8732
"Madelyn",8686
"Genesis",8482
"Arianna",8388
"Kaylee",8176
"Maya",8170
"Hailey",8154
"Autumn",8098
"Piper",8048
"Serenity",7755
"Nevaeh",7735
"Aurora",7595
"Kylie",7545
"Eva",7533
"Naomi",7522
"Bella",7419
"Peyton",7377
"Ruby",7250
"Mackenzie",7240
"Alice",7081
"Lydia",7081
"Aubree",7012
"Taylor",7002
"Melanie",6963
"Cora",6747
"Quinn",6725
"Katherine",6701
"Julia",6679
"Madeline",6584
"Brianna",6540
"Adeline",6506
"Ashley",6443
"Luna",6441
"Gianna",6379
"Faith",6340
"Vivian",6321
"Annabelle",6236
"Isabelle",6221
"Eliana",6158
"Reagan",6128
"Kinsley",6124
"Clara",6113
"Alexis",6068
"Elena",6054
"Alyssa",5904
"Willow",5879
"Hadley",5841
"Alexandra",5829
"Sophie",5782
"Valentina",5653
"Rylee",5625
"Maria",5607
"Bailey",5522
"Khloe",5513
"Natalia",5505
"Delilah",5436
"Jasmine",5418
"Ivy",5295
"Ximena",5271
"Josephine",5261
"London",5248
"Jade",5244
"Emilia",5234
"Adalynn",5199
"Everly",5197
"Kayla",5186
"Brielle",5181
"Liliana",5180
"Andrea",5175
"Kimberly",5157
"Mary",5107
"Morgan",4999
"Lauren",4997
"Sydney",4962
"Emery",4825
"Isla",4774
"Trinity",4718
"Adalyn",4628
"Jocelyn",4535
"Ariel",4516
"Lyla",4475
"Jordyn",4460
"Lilly",4429
"Paige",4328
"Margaret",4305
"Melody",4301
"Isabel",4256
"Molly",4226
"Athena",4208
"Makayla",4166
"Eden",4128
"Mckenzie",4106
"Mya",4098
"Nicole",4049
"Norah",4042
"Valeria",4008
"Brooke",4002
"Mariah",4002
"Sara",3995
"Aliyah",3957
"Rose",3954
"Payton",3899
"Kendall",3885
"Amy",3865
"Juliana",3845
"Londyn",3829
"Valerie",3826
"Laila",3821
"Angelina",3806
"Nova",3790
"Rachel",3776
"Raelynn",3768
"Leilani",3753
"Elise",3746
"Gracie",3745
"Emerson",3736
"Eliza",3679
"Alina",3669
"Reese",3668
"Cecilia",3590
"Alaina",3577
"Ryleigh",3532
"Brooklynn",3531
"Arya",3529
"Genevieve",3494
"Daisy",3480
"Teagan",3469
"Catherine",3459
"Harmony",3448
"Esther",3403
"Arabella",3397
"Vanessa",3380
"Adelyn",3336
"Finley",3320
"Presley",3315
"Charlie",3308
"Daniela",3304
"Julianna",3303
"Destiny",3285
"Rebecca",3281
"Hayden",3277
"Summer",3268
"Michelle",3258
"Iris",3235
"Adriana",3212
"Callie",3208
"Lila",3199
"Anastasia",3193
"Alana",3180
"Amaya",3096
"Juliette",3095
"Fiona",3039
"Gabrielle",3007
"Alexandria",2989
"Angela",2988
"Marley",2984
"Alivia",2969
"Ana",2965
"Lucia",2960
"Jessica",2957
"Giselle",2941
"Tessa",2939
"Stephanie",2924
"Parker",2912
"Alayna",2887
"Kate",2856
"Makenzie",2844
"Georgia",2838
"Lola",2822
"Eloise",2815
"Sienna",2801
"Adaline",2775
"Jayla",2759
"Hope",2757
"Brynlee",2745
"Juliet",2744
"Daleyza",2741
"Dakota",2735
"Vivienne",2701
"Leila",2686
"Kaitlyn",2650
"Kinley",2648
"Maggie",2640
"Josie",2636
"Izabella",2626
"Cali",2624
"Camille",2606
"Harley",2549
"Mckenna",2544
"Evangeline",2543
"Noelle",2542
"Delaney",2523
"Melissa",2504
"Gabriela",2502
"Sawyer",2491
"Kylee",2461
"Aniyah",2455
"Brynn",2455
"Jennifer",2434
"Gemma",2433
"Rosalie",2428
"Ayla",2425
"Adelaide",2384
"Paris",2364
"Maci",2362
"Olive",2360
"Jacqueline",2359
"Cassidy",2344
"Journey",2342
"Keira",2340
"Rowan",2329
"Elliana",2325
"Jordan",2325
"Joanna",2322
"June",2311
"Lilliana",2295
"Lena",2294
"Raegan",2294
"Allie",2292
"Amiyah",2288
"Elaina",2285
"Miranda",2269
"Diana",2262
"Adelynn",2261
"Kali",2261
"Malia",2254
"Katelyn",2244
"Jane",2240
"Lucille",2237
"Lyric",2235
"Charlee",2216
"Alessandra",2203
"Miriam",2198
"Mariana",2192
"Sloane",2182
"Ruth",2180
"Talia",2171
"Amina",2161
"Paislee",2139
"Phoebe",2136
"Haley",2132
"Makenna",2130
"Selena",2128
"Kenzie",2123
"Nina",2116
"Annie",2115
"Lilah",2109
"Angel",2108
"Vera",2102
"Fatima",2101
"Blakely",2091
"Haven",2089
"Lexi",2069
"Danielle",2067
"River",2063
"Shelby",2050
"Adrianna",2045
"Maddison",2026
"Catalina",2023
"Madilyn",2021
"Skyler",2019
"Amanda",2012
"Madeleine",2012
"Addilyn",2005
"Daniella",1999
"Arielle",1996
"Nyla",1993
"Raelyn",1985
"Chelsea",1982
"Lia",1971
"Kamila",1968
"Jenna",1963
"Laura",1963
"Kayleigh",1951
"Katie",1934
"Heaven",1933
"Alison",1930
"Ainsley",1926
"Kendra",1914
"Ember",1904
"Emersyn",1895
"Erin",1889
"Alexia",1881
"Jada",1881
"Ada",1875
"Myla",1861
"Nadia",1856
"Journee",1851
"Rylie",1847
"Blake",1842
"Camilla",1842
"Kathryn",1841
"Amber",1838
"Heidi",1838
"Gracelyn",1828
"Cadence",1826
"Felicity",1823
"Zara",1823
"Elsie",1820
"Christina",1816
"Ashlyn",1811
"Briella",1811
"Sage",1810
"Kelsey",1802
"Thea",1801
"Kyla",1797
"Ariella",1793
"Sabrina",1793
"Kaydence",1790
"Alondra",1788
"Kira",1781
"Aspen",1770
"Amara",1767
"Kamryn",1767
"Leia",1767
"Alicia",1763
"Brinley",1763
"Mikayla",1762
"Lana",1761
"Freya",1757
"Cheyenne",1750
"Esmeralda",1744
"Gia",1741
"Scarlet",1730
"Remi",1728
"Amira",1724
"Gracelynn",1707
"Bianca",1706
"Veronica",1690
"Logan",1685
"Juniper",1679
"Leslie",1679
"Allyson",1677
"Carmen",1675
"Daphne",1673
"Joy",1668
"Kiara",1663
"Aylin",1654
"Dylan",1651
"Ariah",1647
"Carly",1644
"Skye",1643
"Elle",1641
"Kennedi",1640
"Camryn",1638
"Ashlynn",1628
"Miracle",1626
"Anaya",1624
"April",1621
